ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
53846,ثانوية الشرق الاهلية,الخفجي,AlSharquia,تعليم عام بنين,67.75,male,capabilities,scientific
26755,ثانوية العلم النافع الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,67.75,male,capabilities,scientific
26618,ثانوية الإبداع الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,67.74,male,capabilities,scientific
29941,الخليل بن أحمد الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,67.72,male,capabilities,scientific
61845,ثانوية رواد أبها,أبها,Asser,تعليم عام بنين,67.7,male,capabilities,scientific
32851,الضياء الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,67.56,male,capabilities,scientific
76519,تبوك النموذجية الاهلية  الثانوية,تبوك,Tabuk,تعليم عام بنين,67.54,male,capabilities,scientific
11190,ثانوية الجيل الأهلية,الرياض,Riyadh,تعليم عام بنين,67.49,male,capabilities,scientific
61721,ثانوية رياض الخميس الأهلية,خميس مشيط,Asser,تعليم عام بنين,67.47,male,capabilities,scientific
32849,الحجاز الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,67.45,male,capabilities,scientific
33043,الشروق الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,67.43,male,capabilities,scientific
76771,مدارس منارات تبوك الأهلية للمرحلة الثانوية,تبوك,Tabuk,تعليم عام بنين,67.34,male,capabilities,scientific
54194,ثانوية ربوة الشرقية الأهلية,الخبر,AlSharquia,تعليم عام بنين,67.34,male,capabilities,scientific
54172,ثانوية بشائر الجزيرة الاهلية,الخبر,AlSharquia,تعليم عام بنين,67.28,male,capabilities,scientific
11294,ثانوية الرشد الأهلية,الرياض,Riyadh,تعليم عام بنين,67.23,male,capabilities,scientific
11216,ثانوية آفاق البديعة الأهلية,الرياض,Riyadh,تعليم عام بنين,67.22,male,capabilities,scientific
26535,ثانوية المعرفة الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,67.2,male,capabilities,scientific
126041,ثانوية الإنجاز الأهلية بالهجرة,مكة المكرمة,Makkah,تعليم عام بنين,67.19,male,capabilities,scientific
29861,مجمع شباب الفهد التعليمي الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,67.15,male,capabilities,scientific
53844,ثانوية الملك عبدالعزيز الأهلية,الخبر,AlSharquia,تعليم عام بنين,67.14,male,capabilities,scientific
16248,ثانوية فرسان الجزيرة الأهلية - عام,الخرج,Riyadh,تعليم عام بنين,66.97,male,capabilities,scientific
32833,الفيصلية الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,66.88,male,capabilities,scientific
132195,الفيصلية الثانوية الاهلية فرع الفلاح,جدة,Makkah,تعليم عام بنين,66.72,male,capabilities,scientific
47638,ثانوية الرواد الأهلية,بريدة,Qassim,تعليم عام بنين,66.7,male,capabilities,scientific
29800,الجيل الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,66.69,male,capabilities,scientific
53855,ثانوية الخط الاهلية,القطيف,AlSharquia,تعليم عام بنين,66.67,male,capabilities,scientific
54261,ثانوية نخبة الأجيال الأهلية,الجبيل,AlSharquia,تعليم عام بنين,66.66,male,capabilities,scientific
54204,ثانوية اليرموك الاهلية,الظهران,AlSharquia,تعليم عام بنين,66.6,male,capabilities,scientific
64664,الأنجال الثانوية الأهلية,بيشة,Asser,تعليم عام بنين,66.59,male,capabilities,scientific
11684,ثانوية الرقي الأهلية,الرياض,Riyadh,تعليم عام بنين,66.58,male,capabilities,scientific
146037,الحديثة الثانوية  المقررات,ينبع,Madina,مقررات,66.49,male,capabilities,scientific
140053,مدارس الحياة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,مقررات,66.47,male,capabilities,scientific
61790,ثانوية شروق المعرفة الأهلية,أبها,Asser,تعليم عام بنين,66.47,male,capabilities,scientific
111934,ثانوية العاصمة الأهلية,-,Riyadh,تعليم عام بنين,66.47,male,capabilities,scientific
146111,ثانوية نبع المعرفة - مقررات,ينبع,Madina,مقررات,66.44,male,capabilities,scientific
53849,ثانوية التطوير الأهلية,الدمام,AlSharquia,تعليم عام بنين,66.35,male,capabilities,scientific
40594,مدارس القصواء الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,66.34,male,capabilities,scientific
86235,ثانوية مجد العلوم الاهلية,القريات,Gouf,تعليم عام بنين,66.32,male,capabilities,scientific
53850,ثانوية الاهلية الحديثة,الدمام,AlSharquia,تعليم عام بنين,66.3,male,capabilities,scientific
73656,ثانوية سهما الأهلية,حائل,Hail,تعليم عام بنين,66.26,male,capabilities,scientific
32838,المشرق الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,66.2,male,capabilities,scientific
10739,ثانوية دار الصفوة الأهلية,الرياض,Riyadh,تعليم عام بنين,66.17,male,capabilities,scientific
11493,ثانوية المعالي الأهلية,الرياض,Riyadh,تعليم عام بنين,66.07,male,capabilities,scientific
83332,ثانوية واحة المعرفة الأهلية,عرعر,Northern borders,تعليم عام بنين,66.06,male,capabilities,scientific
26583,ثانوية الأنجال الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,66.03,male,capabilities,scientific
11415,ثانوية الأندلس الأهلية,الرياض,Riyadh,تعليم عام بنين,66.0,male,capabilities,scientific
11557,ثانوية البيارق الأهلية,الرياض,Riyadh,تعليم عام بنين,65.93,male,capabilities,scientific
140022,مدارس أنوار الفيحاء ألأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,65.9,male,capabilities,scientific
