General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
101,35316,ثانوية دار الرواد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,77.33
105,962035,ثانوية ابن خلدون الأهلية ( النفل ) - مقررات,الرياض,Riyadh,Domestic,مقررات,77.29
106,28307,ثانوية شعاع المعرفة الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,77.29
107,966325,ثانوية التربية النموذجية الأهلية - مقررات(الريان),الرياض,Riyadh,Domestic,مقررات,77.29
110,96665,ثانوية جرير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,77.17
112,75068,ثانوية التربية  الإسلامية بحائل,حائل,Hail,Domestic,تعليم عام بنات,77.12
113,35179,ثانوية دارالقلم النموذجية الأهلية,جدة,Makkah,Domestic,تعليم عام بنات,77.12
116,351805,ثانوية الاندلس بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,77.04
119,35045,ثانوية البيان النموذجية نظام مقررات,جدة,Makkah,Domestic,مقررات,76.97
121,59099,ثانوية النخبة النموذجية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,76.94
123,96624,ثانوية المستقبل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,76.84
126,196701,ثانوية ابن خلدون (مقررات) (عرقة),الرياض,Riyadh,Domestic,مقررات,76.82
127,556835,ثانوية مدارس السعد الأهلية للبنات (مقررات),الخبر,AlSharquia,Domestic,مقررات,76.8
131,77931,مدارس الملك عبدالعزيز النموذجية - نظام المقررات,تبوك,Tabuk,Domestic,مقررات,76.73
133,42347,مدارس العقيق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,76.65
141,195412,ثانوية الرواد الأهلية-المنصورة,الرياض,Riyadh,Domestic,تعليم عام بنات,76.5
146,966755,ثانوية رياض نجد الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,76.41
147,156177,ثانوية مقررات الحصان الأهلية للبنات بالجبيل,الجبيل,AlSharquia,Domestic,مقررات,76.38
150,134989,ثانوية دارالتربية الحديثة ( مقررات ),جدة,Makkah,Domestic,مقررات,76.28
153,51279,ثانوية الرشاد النموذجيه,الرس,Qassim,Domestic,تعليم عام بنات,76.23
161,197110,ثانوية أطياب الأهلية (مقررات),الرياض,Riyadh,Domestic,مقررات,76.08
164,63498,ثانوية شركة مدارس الرواد الاهلية للبنات بابها,أبها,Asser,Domestic,تعليم عام بنات,75.97
165,96645,ثانوية شبه الجزيرة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,75.96
170,35047,ثانوية النصيفية النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,75.81
172,56262,ثانوية  مدارس رياض الإحسان الاهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,75.79
174,42482,مدارس الملك عبدالعزيز النموذجية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,Domestic,مقررات,75.78
180,969575,ثانوية الأوائل الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,75.66
183,42262,مدارس طيبة الطيبة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,75.62
190,55922,ثانوية مدارس التربية والتعليم للبنات  بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,75.54
193,961285,ثانوية المناهج الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,75.49
