General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1828,14228,ثانوية رواد الأفلاج الأهلية,-,Riyadh,Domestic,تعليم عام بنين,58.49
1838,17497,ثانوية أجيال ساجر الأهلية,ساجر,Riyadh,Domestic,تعليم عام بنين,58.39
1840,47842,ثانوية أنجال المستقبل الاهلية,المذنب,Qassim,Domestic,تعليم عام بنين,58.36
1841,188470,ثانوية نخبة جازان الأهلية,أبو عريش,Jazan,Domestic,تعليم عام بنين,58.35
1845,17485,ثانوية علوم الرواد الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,58.29
1853,17519,ثانوية أنجال التربية الأهلية بالبجادية,البجادية,Riyadh,Domestic,تعليم عام بنين,58.2
1872,33180,طلائع الفكر الثانوية ( برابغ ) الاهلية,رابغ,Makkah,Domestic,تعليم عام بنين,58.03
1874,60393,الأوائل الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,58.03
1883,193009,المعارف الاهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,57.94
1896,184002,ثانوية التحكيم الاهلية,دومة الجندل,Gouf,Domestic,تعليم عام بنين,57.84
1899,60433,فرسان الإبداع  الثانوية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,57.82
1926,160009,الرسالة النموذجية الاهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,57.64
1938,187644,ثانوية اجياد التميز,أبو عريش,Jazan,Domestic,تعليم عام بنين,57.56
1949,60387,شعلة الإيمان الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,57.48
1953,20285,ثانوية المجمعة النموذجية الأولى الأهلية,المجمعة,Riyadh,Domestic,تعليم عام بنين,57.42
1974,21489,ثانوية السيرة الحسنة الأهلية,الرويضه بالعرض,Riyadh,Domestic,تعليم عام بنين,57.12
1975,160010,سفراء الغد الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,57.11
1983,26536,ثانوية المعرفة الأهلية الليلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,57
1987,17495,ثانوية دار القبس الأهلية,رفائع الجمش,Riyadh,Domestic,تعليم عام بنين,56.93
1990,50372,ثانوية درة الملبي الأهلية,الرس,Qassim,Domestic,تعليم عام بنين,56.9
2012,14227,ثانوية دار القبس الأهلية,ليلى,Riyadh,Domestic,تعليم عام بنين,56.68
2018,146032,ثانوية رواد ينـبع الاهلية,ينبع,Madina,Domestic,تعليم عام بنين,56.62
2039,26768,ثانوية الفرقان الليلية بالحمراء الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,56.32
2049,60427,جيل التفوق الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,56.1
2067,60432,أمجاد التعليم الاهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,55.71
2077,12174,ثانوية جيل الريادة الأهلية الليلية,الرياض,Riyadh,Domestic,تعليم عام بنين,55.51
2093,84349,طبرجل الأهلية - الثانوية,طبرجل,Gouf,Domestic,تعليم عام بنين,55.05
2094,184308,ثانوية بيان طبرجل الأهلية,طبرجل,Gouf,Domestic,تعليم عام بنين,54.94
2122,184011,ثانوية منابر الخير الأهلية,طبرجل,Gouf,Domestic,تعليم عام بنين,54.36
